ngal    M     phi    Err
   4 -23.62 4.47e-06 1.77e-06
   1 -23.38 1.11e-06 1.11e-06
   6 -23.12 6.67e-06 2.89e-06
  21 -22.88 2.34e-05 5.27e-06
  47 -22.62 5.22e-05 1.01e-05
 111 -22.38 1.24e-04 2.06e-05
 214 -22.12 2.38e-04 3.67e-05
 440 -21.88 4.88e-04 3.82e-05
 791 -21.62 8.81e-04 8.60e-05
1254 -21.38 1.39e-03 1.09e-04
1884 -21.12 2.10e-03 1.56e-04
2537 -20.88 2.82e-03 1.83e-04
3387 -20.62 3.78e-03 2.73e-04
4128 -20.38 4.63e-03 3.31e-04
5020 -20.12 5.66e-03 3.84e-04
5756 -19.88 6.57e-03 4.25e-04
6638 -19.62 7.63e-03 4.45e-04
6927 -19.38 8.22e-03 5.48e-04
6151 -19.12 8.82e-03 6.58e-04
4819 -18.88 9.98e-03 7.85e-04
3373 -18.62 1.05e-02 1.18e-03
2254 -18.38 1.16e-02 1.61e-03
1279 -18.12 1.26e-02 1.38e-03
 530 -17.88 1.14e-02 1.38e-03
  95 -17.62 5.40e-03 1.29e-03
  20 -17.38 3.29e-04 1.31e-04
  11 -17.12 2.52e-04 1.66e-04
   4 -16.88 1.48e-04 1.35e-04
   7 -16.62 9.51e-05 4.16e-05
   3 -16.38 4.41e-05 3.02e-05
   2 -16.12 4.50e-05 2.97e-05
